Term,Document Frequency,Postings Lists
0,1,4
1,2,4 - 18
10,2,14 - 20
100,1,21
102,1,4
104136,1,4
105,1,4
112,1,4
113,1,4
114,1,4
115,1,4
1160000,1,17
117,1,4
118,1,4
119,1,4
12,1,15
120,1,4
121,1,4
122,1,4
123,1,4
124,1,4
126,1,4
127,1,4
128,1,4
129,1,4
130,1,4
132,1,4
133,1,4
135828,1,13
137,1,4
139140,1,4
1400,1,1
141,1,4
144145,1,4
146,1,4
147,1,4
148,1,4
1492,1,12
15,1,14
150151152,1,4
153,1,4
154,1,4
156,1,4
157,1,4
159,1,4
16,1,10
17,1,12
18,1,13
1863,1,4
19,1,9
1900,1,21
1921,1,18
1950,3,4 - 6 - 17
1951,1,18
1954,1,17
1956,4,2 - 8 - 12 - 18
195616,1,2
1956م,1,2
1957,1,6
1958,1,4
196,1,8
1960,1,3
1963,1,4
1965,1,2
1967,1,2
1969,2,1 - 3
1970,1,3
1974,2,2 - 4
1982,1,4
1985وصلت,1,2
1987,1,2
1989,1,12
1990,1,6
1993,1,13
1997,1,15
1998,3,4 - 14 - 21
1999,1,21
1التقنيات,1,9
20,3,9 - 10 - 20
200,1,8
2000,2,6 - 21
2003,1,2
2005,2,4 - 15
2012,1,20
2016,2,18 - 21
2017,4,9 - 11 - 15 - 21
2018,3,9 - 14 - 15
2019,3,9 - 15 - 21
2020م,1,19
2021,2,5 - 9
2021م,1,19
2022,4,8 - 9 - 12 - 17
2025,1,17
2029,1,4
2030,1,15
2045سوف,1,4
22,1,5
25,3,5 - 11 - 12
27,3,5 - 11 - 12
29,1,11
2d2r,1,4
3,3,11 - 12 - 18
300,2,13 - 16
31,1,19
3132,1,2
32,1,12
325,1,3
33,1,2
38,1,9
4,2,18 - 20
40,3,3 - 7 - 11
41,1,3
42,2,3 - 4
43,2,3 - 4
4328,1,8
44,2,3 - 4
45,2,3 - 4
46,2,3 - 12
47,1,3
5,4,5 - 9 - 11 - 19
50,5,3 - 5 - 9 - 11 - 14
511,1,4
56,1,5
58,2,3 - 9
6,1,2
60,2,3 - 7
61,1,3
63,3,1 - 3 - 11
64,1,3
66,1,3
67,1,3
68,1,3
7,1,16
74,1,3
744,1,12
75,1,3
76,1,3
77,1,3
775,1,19
8,1,10
80,1,3
82,1,3
85,1,17
86,1,3
9,1,2
93104,1,4
98,2,4 - 21
99,1,21
99والبرمجة,1,4
agi,1,20
agiأخرى,1,8
agiإن,1,8
agiالذكاء,1,8
agiالضيقة,1,8
agiنماذج,1,8
agiينبغي,1,8
ai,6,15 - 16 - 18 - 19 - 20 - 21
aiاالصطناعي,1,8
aiالذكاء,1,6
aiجاء,1,8
aiما,1,6
alan,1,18
alexa,1,17
alexnet,1,20
algorithm,1,20
alphabet,1,20
alphago,1,18
and,1,18
ani,1,8
aniالذكاء,1,8
artificial,2,18 - 20
asi,1,8
asiالذكاء,1,8
asiنظريا,1,8
assistant,1,18
aware,1,18
aws,1,20
azure,1,20
backpropagationللمستقبالت,1,4
bard,1,20
battlestar,1,4
bayes,1,4
bayesian,1,4
bayesهي,1,4
brain,1,13
brainly,1,19
brook,1,3
calculus,1,4
chatgpt,2,13 - 20
cloud,1,20
cmu,2,2 - 3
cog,1,17
computing,1,18
connectionismبشكل,1,4
cyc,2,1 - 3
daneel,1,4
darpaمشروعات,1,6
data,2,4 - 20
david,1,3
deep,1,20
deepblue,1,18
deepfake,1,20
edge,1,20
emotional,1,18
feedforward,1,4
folded,1,4
form,1,20
foundation,1,4
frankنسخة,1,4
fredkin,1,4
fuzzy,1,3
galactica,1,4
gdpr,1,20
general,1,20
generative,1,20
ghost,1,4
go,1,18
google,2,13 - 18
gpt,1,20
gpu,1,20
gpusفي,1,14
grey,1,3
guardian,1,17
han,2,2 - 4
handsاأليدي,1,4
haugeland,1,3
hebbian,1,4
hopfield,1,4
hopkins,1,3
idcتتوقع,1,8
ifthenelse,1,18
in,1,4
infrastructure,1,20
intelligence,3,18 - 19 - 20
ipl135,1,4
italk2learn,1,19
john,3,3 - 4 - 18
johnsالعديد,1,3
kevin,1,4
kismet,1,17
knight,1,4
kohonen,1,4
kurzweil,1,2
lambda,1,4
lamda,1,20
learning,3,6 - 18 - 20
limited,1,18
lisp,2,4 - 18
lispإحدى,1,2
lispهو,1,4
lt,1,4
machine,3,2 - 18 - 20
machinery,1,18
machineما,1,6
map,1,18
marvinمن,1,8
matlab,1,4
matrixالغازيcommander,1,4
mccarthy,1,18
mccorduck,1,4
mckinsey,1,5
memory,1,18
mind,1,18
minsky,1,8
mit,1,2
mlأسرع,1,6
mlوالتي,1,5
moravec,1,4
my,1,16
narrow,1,20
netflixالقدرة,1,5
network,1,20
neural,1,20
norvig,2,2 - 3
nvidia,1,20
of,1,18
olivaw,1,4
openai,1,20
p,1,4
pamela,1,4
papert,1,3
parallel,1,20
paul,1,4
platform,1,20
pre,1,20
processing,1,20
protection,1,20
queriesحول,1,4
ray,1,4
rayوغيرهم,1,2
reactive,1,18
regulation,1,20
rider,1,4
robert,1,4
robot,1,18
robota,1,18
rodney,1,3
rosenblatt,1,4
rumelhart,1,3
russellوتشمل,1,2
rفي,1,4
s,1,4
satplanتستخدم,1,4
sdgs,1,15
self,1,18
series,1,4
service,1,20
show,1,4
siri,2,17 - 18
soar,1,3
star,1,4
strategiecs,1,21
strip,1,4
super,1,18
system,1,3
tank,1,21
the,2,4 - 17
theory,1,18
think,1,21
to,1,4
toetacticنسبيا,1,5
topio,1,3
tortoise,1,19
trained,1,20
transformer,1,20
transhumanismفي,1,4
transhumanismولها,1,4
translate,1,13
trek,1,4
ttik,1,4
turing,1,18
vernor,1,4
vinge,1,4
w,1,3
walter,1,3
weak,1,20
werbos,1,4
with,1,4
wordle,1,13
y2k,1,21
yan,1,4
آالالت,2,1 - 3
آالت,3,2 - 4 - 6
آالن,3,2 - 4 - 6
آبائها,1,8
آثار,1,21
آخر,5,13 - 16 - 19 - 20 - 21
آخرها,1,20
آخرون,1,16
آفاقا,1,15
آلات,1,18
آلاف,1,20
آلان,2,17 - 18
آلة,6,1 - 2 - 3 - 12 - 13 - 17
آلتهما,1,12
آلي,2,18 - 19
آليا,3,1 - 3 - 5
آلية,5,1 - 3 - 18 - 20 - 21
آمن,3,1 - 3 - 13
آن,2,7 - 20
آند,1,12
أال,1,4
